residence_sa2,NZDep_Decile,scenario,car_commuters_out,od_charged_commuters,od_trapped_commuters,od_charged_share,od_burden
127200,8.0,1a,78.0,0,0,0.0,no_charge
117300,7.0,1a,189.0,0,0,0.0,no_charge
116701,3.0,1a,894.0,60,60,0.0671,no_charge
118100,5.0,1a,666.0,36,27,0.0541,no_charge
117400,4.0,1a,402.0,9,9,0.0224,no_charge
160401,6.0,1a,834.0,21,21,0.0252,no_charge
165400,1.0,1a,603.0,6,6,0.01,no_charge
134500,7.0,1a,84.0,0,0,0.0,no_charge
153600,9.0,1a,396.0,0,0,0.0,no_charge
153200,9.0,1a,216.0,6,6,0.0278,no_charge
154202,9.0,1a,477.0,0,0,0.0,no_charge
154201,9.0,1a,582.0,9,9,0.0155,no_charge
112102,1.0,1a,0.0,0,0,0.0,no_charge
166400,2.0,1a,423.0,0,0,0.0,no_charge
162300,5.0,1a,153.0,0,0,0.0,no_charge
155401,6.0,1a,462.0,6,6,0.013,no_charge
116000,3.0,1a,204.0,0,0,0.0,no_charge
147900,10.0,1a,60.0,0,0,0.0,no_charge
134800,8.0,1a,0.0,0,0,0.0,no_charge
133100,8.0,1a,396.0,57,57,0.1439,no_charge
132002,6.0,1a,387.0,54,54,0.1395,no_charge
132001,8.0,1a,480.0,63,63,0.1312,no_charge
130601,8.0,1a,726.0,105,105,0.1446,no_charge
135000,8.0,1a,834.0,96,96,0.1151,no_charge
131700,9.0,1a,708.0,66,66,0.0932,no_charge
116801,3.0,1a,762.0,48,48,0.063,no_charge
149901,7.0,1a,636.0,0,0,0.0,no_charge
138100,5.0,1a,537.0,102,39,0.1899,no_charge
156901,5.0,1a,1074.0,42,42,0.0391,no_charge
129400,4.0,1a,453.0,48,36,0.106,no_charge
121001,5.0,1a,873.0,36,36,0.0412,no_charge
122101,4.0,1a,696.0,51,51,0.0733,no_charge
121401,4.0,1a,468.0,21,21,0.0449,no_charge
122400,8.0,1a,729.0,57,57,0.0782,no_charge
123900,1.0,1a,606.0,60,45,0.099,no_charge
121800,3.0,1a,681.0,48,33,0.0705,no_charge
129300,4.0,1a,501.0,42,6,0.0838,no_charge
120101,5.0,1a,84.0,9,9,0.1071,no_charge
122802,5.0,1a,600.0,48,18,0.08,no_charge
122801,7.0,1a,402.0,15,9,0.0373,no_charge
124401,5.0,1a,795.0,72,33,0.0906,no_charge
126500,4.0,1a,450.0,42,0,0.0933,no_charge
125202,1.0,1a,237.0,12,6,0.0506,no_charge
127400,1.0,1a,531.0,99,18,0.1864,no_charge
125201,2.0,1a,408.0,63,9,0.1544,no_charge
137202,6.0,1a,519.0,63,63,0.1214,no_charge
139501,6.0,1a,363.0,33,33,0.0909,no_charge
137201,7.0,1a,423.0,27,27,0.0638,no_charge
138600,6.0,1a,396.0,51,51,0.1288,no_charge
138901,4.0,1a,519.0,60,60,0.1156,no_charge
166301,3.0,1a,462.0,0,0,0.0,no_charge
154600,,1a,0.0,0,0,0.0,no_charge
152900,4.0,1a,498.0,12,12,0.0241,no_charge
152201,4.0,1a,846.0,30,30,0.0355,no_charge
156000,7.0,1a,6.0,0,0,0.0,no_charge
158602,2.0,1a,546.0,24,24,0.044,no_charge
118300,5.0,1a,579.0,24,24,0.0415,no_charge
118700,3.0,1a,582.0,42,42,0.0722,no_charge
118200,4.0,1a,921.0,45,45,0.0489,no_charge
166200,4.0,1a,273.0,0,0,0.0,no_charge
148300,5.0,1a,333.0,0,0,0.0,no_charge
149701,5.0,1a,567.0,0,0,0.0,no_charge
146400,3.0,1a,564.0,9,9,0.016,no_charge
149702,6.0,1a,312.0,0,0,0.0,no_charge
158800,10.0,1a,684.0,15,15,0.0219,no_charge
152500,4.0,1a,294.0,0,0,0.0,no_charge
122200,1.0,1a,537.0,69,69,0.1285,no_charge
165600,2.0,1a,387.0,0,0,0.0,no_charge
110400,5.0,1a,690.0,15,15,0.0217,no_charge
123701,1.0,1a,441.0,72,63,0.1633,no_charge
123702,2.0,1a,327.0,51,30,0.156,no_charge
157500,8.0,1a,747.0,30,30,0.0402,no_charge
126300,2.0,1a,579.0,75,60,0.1295,no_charge
134000,1.0,1a,171.0,18,18,0.1053,no_charge
159401,3.0,1a,315.0,0,0,0.0,no_charge
159700,10.0,1a,276.0,0,0,0.0,no_charge
158700,10.0,1a,552.0,0,0,0.0,no_charge
159500,10.0,1a,570.0,12,12,0.0211,no_charge
162901,2.0,1a,282.0,6,6,0.0213,no_charge
157702,10.0,1a,459.0,0,0,0.0,no_charge
157701,10.0,1a,450.0,0,0,0.0,no_charge
157901,9.0,1a,609.0,6,6,0.0099,no_charge
165901,4.0,1a,660.0,0,0,0.0,no_charge
115501,1.0,1a,342.0,27,27,0.0789,no_charge
153400,1.0,1a,1104.0,39,39,0.0353,no_charge
131802,1.0,1a,0.0,0,0,0.0,no_charge
161900,9.0,1a,375.0,0,0,0.0,no_charge
161800,2.0,1a,891.0,15,15,0.0168,no_charge
113402,7.0,1a,261.0,0,0,0.0,no_charge
115601,3.0,1a,255.0,6,6,0.0235,no_charge
113500,3.0,1a,234.0,6,6,0.0256,no_charge
154701,2.0,1a,309.0,18,18,0.0583,no_charge
155301,2.0,1a,342.0,12,12,0.0351,no_charge
133000,1.0,1a,333.0,30,24,0.0901,no_charge
154101,8.0,1a,603.0,0,0,0.0,no_charge
110900,3.0,1a,291.0,6,6,0.0206,no_charge
158002,2.0,1a,507.0,12,12,0.0237,no_charge
158001,8.0,1a,522.0,0,0,0.0,no_charge
164302,9.0,1a,111.0,0,0,0.0,no_charge
164602,2.0,1a,96.0,0,0,0.0,no_charge
164301,5.0,1a,99.0,0,0,0.0,no_charge
152300,8.0,1a,21.0,0,0,0.0,no_charge
148000,3.0,1a,342.0,0,0,0.0,no_charge
136200,3.0,1a,192.0,57,0,0.2969,no_charge
136001,4.0,1a,516.0,84,0,0.1628,no_charge
136900,5.0,1a,264.0,72,0,0.2727,no_charge
143301,3.0,1a,594.0,75,75,0.1263,no_charge
144400,2.0,1a,675.0,78,78,0.1156,no_charge
144800,3.0,1a,516.0,60,60,0.1163,no_charge
144201,6.0,1a,0.0,0,0,0.0,no_charge
140200,5.0,1a,570.0,57,27,0.1,no_charge
140800,4.0,1a,726.0,111,102,0.1529,no_charge
141500,5.0,1a,528.0,87,72,0.1648,no_charge
138700,6.0,1a,456.0,57,18,0.125,no_charge
141700,3.0,1a,408.0,78,78,0.1912,no_charge
116900,4.0,1a,729.0,36,36,0.0494,no_charge
148401,2.0,1a,447.0,6,6,0.0134,no_charge
149400,9.0,1a,804.0,30,30,0.0373,no_charge
148200,10.0,1a,525.0,6,6,0.0114,no_charge
